"Grant ID","to","from","Amount","Recipient ID","Funder ID","Start year","End year"
"2038","Detroit Urban League, Inc","United Way for Southeastern Michigan","37500","178","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2169","Masonic Temple","United Way for Southeastern Michigan","36596","2776","512","Sat, 01 Jan 2011 00:00:00 -0500","Sun, 01 Jan 2012 00:00:00 -0500"
"2096","80 Strong Community Outreach","United Way for Southeastern Michigan","36308","3177","512","Sat, 01 Jan 2011 00:00:00 -0500","Sun, 01 Jan 2012 00:00:00 -0500"
"1494","United Negro College Fund, Inc","DTE Energy Foundation","36067","510","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1048","Cornerstone Schools Association","Community Foundation for Southeast Michigan","36000","116","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1043","Cornerstone Schools Association","Community Foundation for Southeast Michigan","36000","116","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1030","City Year, Inc","Community Foundation for Southeast Michigan","36000","103","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1368","Wayne State University","Community Foundation for Southeast Michigan","35405","539","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2132","Greater Detroit Agency for the Blind and Visually Impaired","United Way for Southeastern Michigan","35275","249","512","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2194","Baker College","United Way for Southeastern Michigan","35100","638","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"1913","Northend Community Development Corporation","W.K. Kellogg Foundation","35000","396","301","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"1645","Center of Music & Performing Arts Southwest (COMPAS)","John S. and James L. Knight Foundation, Inc.","35000","593","306","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"1903","Restaurant Opportunities Center United, Inc","W.K. Kellogg Foundation","35000","435","301","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1984","Engineering Society of Detroit","W.K. Kellogg Foundation","35000","204","301","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"736","Alternatives for Girls","Skillman Foundation","35000","20","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1249","Southwest Housing Solutions Corporation","Community Foundation for Southeast Michigan","35000","464","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1683","The Hinterlands","John S. and James L. Knight Foundation, Inc.","35000","626","306","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"725","St John Community Health Investment Corporation","Skillman Foundation","35000","474","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"742","Crossroads of Michigan","Skillman Foundation","35000","123","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1014","Center for Autism","Community Foundation for Southeast Michigan","35000","80","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"727","United Community Housing Coalition","Skillman Foundation","35000","507","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1495","Belle Isle Women's Committee","DTE Energy Foundation","35000","45","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2203","Cityscape Detroit","United Way for Southeastern Michigan","35000","640","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2475","Heritage Works","Kresge Foundation","35000","266","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"2146","Man Power Mentoring, Inc","United Way for Southeastern Michigan","34095","327","512","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1139","Free Press Charities, Inc","Community Foundation for Southeast Michigan","34000","231","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2091","Wayne County Sheriff Office","United Way for Southeastern Michigan","33951","538","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2221","InsideOut Literary Arts Project","United Way for Southeastern Michigan","33450","280","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2056","InsideOut Literary Arts Project","United Way for Southeastern Michigan","33450","280","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"678","The YES Foundation","Skillman Foundation","33000","494","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2067","Motor City Blight Busters, Inc","United Way for Southeastern Michigan","32594","370","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2045","Franco Public Relations Group","United Way for Southeastern Michigan","32446","228","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1496","Mosaic Youth Theatre of Detroit","DTE Energy Foundation","32000","369","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1273","Detroit Institute of Arts","Community Foundation for Southeast Michigan","31750","157","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2125","Don Bosco Hall, Inc","United Way for Southeastern Michigan","31500","189","512","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1140","Friends School in Detroit","Community Foundation for Southeast Michigan","31309","236","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2059","Junior Achievement of Southeastern Michigan, Inc","United Way for Southeastern Michigan","31060","295","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1292","Detroit Institute of Arts","Community Foundation for Southeast Michigan","31000","157","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"780","Cranbrook Educational Community","Skillman Foundation","30700","122","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1147","Gleaners Community Food Bank, Inc","Community Foundation for Southeast Michigan","30615","242","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2284","Motown Historical Museum","Fred A. & Barbara M. Erb Family Foundation","30000","371","206","Sat, 01 Jan 2011 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"1337","Wayne State University Research & Technology","Community Foundation for Southeast Michigan","30000","543","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
